Name,Algorithm, Descending?, Runtime(s), n, SOL, OPT, SOL/OPT,KnownOptimalSOL,SOL/KOS, capacity, result_bins
TEST0097, next_fit, True,5.2000000000000004e-05,42,6,6,1.0,13,0.461538,10000,[[(0， 2487)， (1， 2439)， (2， 2431)， (3， 2419)]， [(4， 2400)， (5， 2333)， (6， 2303)， (7， 2232)]， [(8， 2192)， (9， 2176)， (10， 2007)， (11， 1817)， (12， 1704)]， [(13， 1612)， (14， 1557)， (15， 1457)， (16， 1454)， (17， 1304)， (18， 1255)， (19， 1246)]， [(20， 1219)， (21， 1148)， (22， 1142)， (23， 1066)， (24， 1010)， (25， 987)， (26， 969)， (27， 948)， (28， 923)]， [(29， 685)， (30， 679)， (31， 663)， (32， 598)， (33， 589)， (34， 548)， (35， 537)， (36， 513)， (37， 385)， (38， 303)， (39， 248)， (40， 106)， (41， 2)]]
TEST0097, first_fit, True,0.000123,42,6,6,1.0,13,0.461538,10000,[[(0， 2487)， (1， 2439)， (2， 2431)， (3， 2419)， (40， 106)， (41， 2)]， [(4， 2400)， (5， 2333)， (6， 2303)， (7， 2232)， (29， 685)]， [(8， 2192)， (9， 2176)， (10， 2007)， (11， 1817)， (12， 1704)]， [(13， 1612)， (14， 1557)， (15， 1457)， (16， 1454)， (17， 1304)， (18， 1255)， (19， 1246)]， [(20， 1219)， (21， 1148)， (22， 1142)， (23， 1066)， (24， 1010)， (25， 987)， (26， 969)， (27， 948)， (28， 923)， (34， 548)]， [(30， 679)， (31， 663)， (32， 598)， (33， 589)， (35， 537)， (36， 513)， (37， 385)， (38， 303)， (39， 248)]]
TEST0097, worst_fit, True,0.000697,42,6,6,1.0,13,0.461538,10000,[[(0， 2487)， (1， 2439)， (2， 2431)， (3， 2419)]， [(4， 2400)， (5， 2333)， (6， 2303)， (7， 2232)， (29， 685)]， [(8， 2192)， (9， 2176)， (10， 2007)， (11， 1817)， (12， 1704)]， [(13， 1612)， (14， 1557)， (15， 1457)， (16， 1454)， (17， 1304)， (18， 1255)， (19， 1246)]， [(20， 1219)， (21， 1148)， (22， 1142)， (23， 1066)， (24， 1010)， (25， 987)， (26， 969)， (27， 948)， (28， 923)]， [(30， 679)， (31， 663)， (32， 598)， (33， 589)， (34， 548)， (35， 537)， (36， 513)， (37， 385)， (38， 303)， (39， 248)， (40， 106)， (41， 2)]]
TEST0097, almost_worst_fit, True,0.0008619999999999999,42,7,6,1.166667,13,0.538462,10000,[[(0， 2487)， (1， 2439)， (2， 2431)， (3， 2419)]， [(4， 2400)， (6， 2303)， (7， 2232)， (8， 2192)， (30， 679)]， [(5， 2333)， (10， 2007)， (11， 1817)， (12， 1704)， (13， 1612)]， [(9， 2176)， (15， 1457)， (16， 1454)， (17， 1304)， (18， 1255)， (19， 1246)， (29， 685)]， [(14， 1557)， (21， 1148)， (22， 1142)， (23， 1066)， (24， 1010)， (25， 987)， (26， 969)， (27， 948)， (28， 923)]， [(20， 1219)， (32， 598)， (33， 589)， (34， 548)， (35， 537)， (36， 513)， (37， 385)， (38， 303)， (39， 248)， (40， 106)， (41， 2)]， [(31， 663)]]
TEST0097, best_fit, True,0.00072,42,6,6,1.0,13,0.461538,10000,[[(0， 2487)， (1， 2439)， (2， 2431)， (3， 2419)]， [(4， 2400)， (5， 2333)， (6， 2303)， (7， 2232)， (29， 685)]， [(8， 2192)， (9， 2176)， (10， 2007)， (11， 1817)， (12， 1704)]， [(13， 1612)， (14， 1557)， (15， 1457)， (16， 1454)， (17， 1304)， (18， 1255)， (19， 1246)， (40， 106)， (41， 2)]， [(20， 1219)， (21， 1148)， (22， 1142)， (23， 1066)， (24， 1010)， (25， 987)， (26， 969)， (27， 948)， (28， 923)， (34， 548)]， [(30， 679)， (31， 663)， (32， 598)， (33， 589)， (35， 537)， (36， 513)， (37， 385)， (38， 303)， (39， 248)]]
TEST0058, next_fit, True,0.000101,38,10,9,1.111111,21,0.47619,10000,[[(0， 4681)， (1， 4588)]， [(2， 4560)， (3， 4435)]， [(4， 4383)， (5， 4302)]， [(6， 4164)， (7， 4056)]， [(8， 3511)， (9， 3424)]， [(10， 3306)， (11， 3267)， (12， 3248)]， [(13， 3237)， (14， 3096)， (15， 2911)]， [(16， 2420)， (17， 2266)， (18， 2155)， (19， 2088)]， [(20， 2041)， (21， 1919)， (22， 1908)， (23， 1815)， (24， 1194)]， [(25， 1134)， (26， 1102)， (27， 887)， (28， 746)， (29， 730)， (30， 724)， (31， 615)， (32， 603)， (33， 595)， (34， 435)， (35， 225)， (36， 124)， (37， 97)]]
TEST0058, first_fit, True,0.000145,38,9,9,1.0,21,0.428571,10000,[[(0， 4681)， (1， 4588)， (29， 730)]， [(2， 4560)， (3， 4435)， (27， 887)， (37， 97)]， [(4， 4383)， (5， 4302)， (24， 1194)]， [(6， 4164)， (7， 4056)， (25， 1134)， (31， 615)]， [(8， 3511)， (9， 3424)， (15， 2911)， (36， 124)]， [(10， 3306)， (11， 3267)， (12， 3248)]， [(13， 3237)， (14， 3096)， (16， 2420)， (26， 1102)]， [(17， 2266)， (18， 2155)， (19， 2088)， (20， 2041)， (28， 746)， (32， 603)]， [(21， 1919)， (22， 1908)， (23， 1815)， (30， 724)， (33， 595)， (34， 435)， (35， 225)]]
TEST0058, worst_fit, True,0.0009550000000000001,38,9,9,1.0,21,0.428571,10000,[[(0， 4681)， (1， 4588)， (34， 435)]， [(2， 4560)， (3， 4435)， (30， 724)]， [(4， 4383)， (5， 4302)， (29， 730)， (37， 97)]， [(6， 4164)， (7， 4056)， (27， 887)， (32， 603)]， [(8， 3511)， (9， 3424)， (16， 2420)， (36， 124)]， [(10， 3306)， (11， 3267)， (12， 3248)]， [(13， 3237)， (14， 3096)， (15， 2911)， (33， 595)]， [(17， 2266)， (18， 2155)， (19， 2088)， (20， 2041)， (28， 746)， (35， 225)]， [(21， 1919)， (22， 1908)， (23， 1815)， (24， 1194)， (25， 1134)， (26， 1102)， (31， 615)]]
TEST0058, almost_worst_fit, True,0.00085,38,10,9,1.111111,21,0.47619,10000,[[(0， 4681)， (1， 4588)]， [(2， 4560)， (4， 4383)， (34， 435)]， [(3， 4435)， (6， 4164)， (32， 603)]， [(5， 4302)， (8， 3511)， (18， 2155)]， [(7， 4056)， (10， 3306)， (17， 2266)]， [(9， 3424)， (12， 3248)， (13， 3237)]， [(11， 3267)， (15， 2911)， (16， 2420)， (31， 615)]， [(14， 3096)， (20， 2041)， (21， 1919)， (22， 1908)， (35， 225)， (36， 124)]， [(19， 2088)， (24， 1194)， (25， 1134)， (26， 1102)， (27， 887)， (28， 746)， (29， 730)， (30， 724)， (33， 595)， (37， 97)]， [(23， 1815)]]
TEST0058, best_fit, True,0.000795,38,9,9,1.0,21,0.428571,10000,[[(0， 4681)， (1， 4588)， (29， 730)]， [(2， 4560)， (3， 4435)， (27， 887)， (37， 97)]， [(4， 4383)， (5， 4302)， (25， 1134)]， [(6， 4164)， (7， 4056)， (28， 746)， (30， 724)， (35， 225)]， [(8， 3511)， (9， 3424)， (15， 2911)， (36， 124)]， [(10， 3306)， (11， 3267)， (12， 3248)]， [(13， 3237)， (14， 3096)， (16， 2420)， (24， 1194)]， [(17， 2266)， (18， 2155)， (19， 2088)， (20， 2041)， (26， 1102)]， [(21， 1919)， (22， 1908)， (23， 1815)， (31， 615)， (32， 603)， (33， 595)， (34， 435)]]
